,fineLine,displayName,productUrl,brandName,brandLogo,forHire,unitOfMeasure,isSpecialOrder,availableForOrderOnline,availableForPickUp,availableForDelivery,isTradingRestricted,isThirdParty,isBundle,isCustomMade,hasPOADelivery,productImage,checkStoreForPrice,stockStatus,isFeatured,sellerName,isMarketplaceProduct,showStockLevel,isInStore,productRatings,totalReviewCount,Price_int
0,6290474,Ozito Power X Change 18V Angle Grinder - Skin Only,/ozito-power-x-change-18v-angle-grinder-skin-only_p6290474,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",2},59.0
1,6290482,Ozito Power X Change 18V Fast Charger,/ozito-power-x-change-18v-fast-charger_p6290482,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},29.98
2,6210747,Ozito Power X Change 18V LED Torch - Skin Only,/ozito-power-x-change-18v-led-torch-skin-only_p6210747,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",0},19.98
3,6290524,Ozito 18V Power X Change 2 Piece Drill Kit,/ozito-18v-power-x-change-2-piece-drill-kit_p6290524,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},169.0
4,6290548,Ozito Power X Change 18V Brushless Hammer Drill - Skin Only,/ozito-power-x-change-18v-brushless-hammer-drill-skin-only_p6290548,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
5,6290566,Ozito Power X Change 18V Brushless Impact Wrench - Skin Only,/ozito-power-x-change-18v-brushless-impact-wrench-skin-only_p6290566,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},99.9
6,6290567,Ozito Power X Change 18V Hand Vacuum - Skin Only,/ozito-power-x-change-18v-hand-vacuum-skin-only_p6290567,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},49.9
7,6290569,Ozito Power X Change 18V Compact Hammer Drill Kit,/ozito-power-x-change-18v-compact-hammer-drill-kit_p6290569,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",2},49.0
8,6290574,Ozito Power X Change 18V 4.0Ah Li-Ion Battery,/ozito-power-x-change-18v-4-0ah-li-ion-battery_p6290574,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",2},69.0
9,6290575,Ozito Power X Change 18V 4.0Ah Li-Ion Battery And Charger Pack,/ozito-power-x-change-18v-4-0ah-li-ion-battery-and-charger-pack_p6290575,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},89.0
