product_name,product_price,url
Ozito Power X Change 18V Brushless Impact Wrench - Skin Only,99.9,https://www.bunnings.com.au/ozito-power-x-change-18v-brushless-impact-wrench-skin-only_p6290566
Ozito Power X Change 18V Impact Driver - Skin Only,49.0,https://www.bunnings.com.au/ozito-power-x-change-18v-impact-driver-skin-only_p6290472
Ozito Power X Change 18V Grass Trimmer and Shear - Skin Only,79.0,https://www.bunnings.com.au/ozito-power-x-change-18v-grass-trimmer-and-shear-skin-only_p3380984
Ozito Power X Change 18V Pruner Attachment,49.0,https://www.bunnings.com.au/ozito-power-x-change-18v-pruner-attachment_p3381338
Ozito Power X Change 18V Brushless Impact Driver - Skin Only,99.0,https://www.bunnings.com.au/ozito-power-x-change-18v-brushless-impact-driver-skin-only_p6290565
Ozito Power X Change 18V Fast Charger,29.98,https://www.bunnings.com.au/ozito-power-x-change-18v-fast-charger_p6290482
Ozito Power X Change 18V 4.0Ah Li-Ion Battery,69.0,https://www.bunnings.com.au/ozito-power-x-change-18v-4-0ah-li-ion-battery_p6290574
Ozito Power X Change 18V 4.0Ah Li-Ion Battery And Charger Pack,89.0,https://www.bunnings.com.au/ozito-power-x-change-18v-4-0ah-li-ion-battery-and-charger-pack_p6290575
Ozito Power X Change 18V 5.2Ah Ultra Battery,99.0,https://www.bunnings.com.au/ozito-power-x-change-18v-5-2ah-ultra-battery_p0018372
Ozito Power X Change 18V Multi Battery Fast Charger,56.64,https://www.bunnings.com.au/ozito-power-x-change-18v-multi-battery-fast-charger_p0035840
Ozito Power X Change 18V Cordless LED Worklight - Skin Only,39.99,https://www.bunnings.com.au/ozito-power-x-change-18v-cordless-led-worklight-skin-only_p0136011
Ozito Power X Change 18V 2.0Ah Li-Ion Battery,35.0,https://www.bunnings.com.au/ozito-power-x-change-18v-2-0ah-li-ion-battery_p6290571
Ozito Power X Change 18V 2.0Ah And 4.0Ah Li-Ion Battery And Charger Pack,115.0,https://www.bunnings.com.au/ozito-power-x-change-18v-2-0ah-and-4-0ah-li-ion-battery-and-charger-pack_p6290576
THIS IS A HISTORY LIST,100.0,WEBSITE
THIS IS SECOND HISTORY,200.0,WEBSITE2
